channel_1_relative_l2,channel_2_relative_l2,channel_dim,device,feature_family,forecast_window_relative_l2,max_abs_error,mode,model,model_label,mse,noise_level,parameter_count,relative_l2,runtime_sec,seed,test_points,train_points,train_setting
nan,nan,1,cuda,domain_only,nan,0.13878295531861629,interpolation,mlp_domain,MLP + domain sin/cos,0.004371654418294539,0.0,1217,0.08978751504203854,0.8691002500709146,0,400,30,30.0
nan,nan,1,cuda,memory_plus_domain,nan,0.15034515911103918,interpolation,mlp_memory_domain,MLP + memory + domain,0.0018794267035684808,0.0,1313,0.058871586165262474,0.8529035388492048,0,400,30,30.0
nan,nan,1,,baseline,1.0469581474307308,1.2345283704973535,forecast,linear_baseline,Linear baseline,0.4811844248264812,0.0,0,1.0469581474307308,0.00033242395147681236,0,200,200,0.5
nan,nan,1,,baseline,1.392498928617498,1.749597093063528,forecast,ar1_baseline,AR(1) baseline,0.8512216462061377,0.0,0,1.392498928617498,0.0002656129654496908,0,200,200,0.5
nan,nan,1,cuda,time_only,1.0514976813459596,1.248120281655313,forecast,mlp_t,MLP baseline [t],0.48536623212941754,0.0,1153,1.0514976813459596,0.5539423108566552,0,200,200,0.5
nan,nan,1,cuda,memory_only,1.2698043315609115,1.6168091034479155,forecast,mlp_memory,MLP + memory-only,0.7078260274559003,0.0,1249,1.2698043315609115,0.39818861498497427,0,200,200,0.5
nan,nan,1,cuda,domain_only,0.4992618059734888,0.5673091694159912,forecast,mlp_domain,MLP + domain sin/cos,0.109423249155682,0.0,1217,0.4992618059734888,0.4185697149951011,0,200,200,0.5
nan,nan,1,cuda,memory_plus_domain,0.4129773129501481,0.42348441335702336,forecast,mlp_memory_domain,MLP + memory + domain,0.07486956468377731,0.0,1313,0.4129773129501481,0.40593408001586795,0,200,200,0.5
nan,nan,1,,baseline,1.0534051476146222,1.08764623740325,forecast,linear_baseline,Linear baseline,0.46123450126938675,0.0,0,1.0534051476146222,0.000822670990601182,0,80,320,0.8
nan,nan,1,,baseline,1.1574158979635651,1.3903818413197522,forecast,ar1_baseline,AR(1) baseline,0.5568135564219027,0.0,0,1.1574158979635651,0.0003577759489417076,0,80,320,0.8
nan,nan,1,cuda,time_only,1.054518588470105,1.0902653669900908,forecast,mlp_t,MLP baseline [t],0.4622100589678542,0.0,1153,1.054518588470105,0.3940186749678105,0,80,320,0.8
nan,nan,1,cuda,memory_only,1.055993577906167,1.0832704937047972,forecast,mlp_memory,MLP + memory-only,0.46350397973528124,0.0,1249,1.055993577906167,0.3574558899272233,0,80,320,0.8
nan,nan,1,cuda,domain_only,0.24752633973053542,0.21502733807055008,forecast,mlp_domain,MLP + domain sin/cos,0.025466763371262035,0.0,1217,0.24752633973053542,0.35211421293206513,0,80,320,0.8
nan,nan,1,cuda,memory_plus_domain,0.11026389167866146,0.11217525626760827,forecast,mlp_memory_domain,MLP + memory + domain,0.00505356139678743,0.0,1313,0.11026389167866146,0.36016700114123523,0,80,320,0.8
nan,nan,1,,baseline,nan,1.8876908469682343,interpolation,linear_baseline,Linear baseline,0.6480801837092416,0.05,0,1.0932196055467247,0.00017269677482545376,0,400,10,10.0
nan,nan,1,,baseline,nan,1.3956338956418015,interpolation,ar1_baseline,AR(1) baseline,0.5415944259953632,0.05,0,0.9993788024332951,0.0002742679789662361,0,400,10,10.0
nan,nan,1,cuda,time_only,nan,1.4093447660989775,interpolation,mlp_t,MLP baseline [t],0.5727320030806241,0.05,1153,1.0277057020080682,0.413517729844898,0,400,10,10.0
nan,nan,1,cuda,memory_only,nan,1.646076445857882,interpolation,mlp_memory,MLP + memory-only,0.6902698530223371,0.05,1249,1.128242599851561,0.3916824690531939,0,400,10,10.0
nan,nan,1,cuda,domain_only,nan,0.34520492091052046,interpolation,mlp_domain,MLP + domain sin/cos,0.019105463577953896,0.05,1217,0.18770326649088875,0.3617739879991859,0,400,10,10.0
nan,nan,1,cuda,memory_plus_domain,nan,0.3158009679548849,interpolation,mlp_memory_domain,MLP + memory + domain,0.013773920992733744,0.05,1313,0.15937560054890498,0.35401090420782566,0,400,10,10.0
nan,nan,1,,baseline,nan,1.7135734029766476,interpolation,linear_baseline,Linear baseline,0.3412332926125462,0.05,0,0.793265814378964,2.5091925635933876e-05,0,400,30,30.0
nan,nan,1,,baseline,nan,1.2331814652345736,interpolation,ar1_baseline,AR(1) baseline,0.4933177755393718,0.05,0,0.9537980336345575,0.0002497490495443344,0,400,30,30.0
nan,nan,1,cuda,time_only,nan,1.4116199472361561,interpolation,mlp_t,MLP baseline [t],0.4897663251588898,0.05,1153,0.9503585823214465,0.3592116970103234,0,400,30,30.0
nan,nan,1,cuda,memory_only,nan,1.1153406360560414,interpolation,mlp_memory,MLP + memory-only,0.4668481763507852,0.05,1249,0.9278566267435391,0.3595043520908803,0,400,30,30.0
nan,nan,1,cuda,domain_only,nan,0.1713278008925151,interpolation,mlp_domain,MLP + domain sin/cos,0.004728661640215595,0.05,1217,0.09338178259581244,0.3549879409838468,0,400,30,30.0
nan,nan,1,cuda,memory_plus_domain,nan,0.1764283508599036,interpolation,mlp_memory_domain,MLP + memory + domain,0.0029804261578185243,0.05,1313,0.07413652468752592,0.3708384628407657,0,400,30,30.0
nan,nan,1,,baseline,1.0417819702558253,1.2216200774785184,forecast,linear_baseline,Linear baseline,0.47643822016958626,0.05,0,1.0417819702558253,0.0002704600337892771,0,200,200,0.5
nan,nan,1,,baseline,1.3207037629055582,1.7042220021819046,forecast,ar1_baseline,AR(1) baseline,0.7657089970260225,0.05,0,1.3207037629055582,0.00025789299979805946,0,200,200,0.5
nan,nan,1,cuda,time_only,1.0461622793446672,1.2351674770898833,forecast,mlp_t,MLP baseline [t],0.4804531371991307,0.05,1153,1.0461622793446672,0.4131039478816092,0,200,200,0.5
nan,nan,1,cuda,memory_only,1.2532574042813234,1.5935728287286772,forecast,mlp_memory,MLP + memory-only,0.6894987415410719,0.05,1249,1.2532574042813234,0.39773642690852284,0,200,200,0.5
nan,nan,1,cuda,domain_only,0.48110975167609576,0.5441654011054443,forecast,mlp_domain,MLP + domain sin/cos,0.10161112018112382,0.05,1217,0.48110975167609576,0.425335390958935,0,200,200,0.5
nan,nan,1,cuda,memory_plus_domain,0.3965003834811105,0.4320458901115056,forecast,mlp_memory_domain,MLP + memory + domain,0.06901446775004594,0.05,1313,0.3965003834811105,0.3955149659886956,0,200,200,0.5
nan,nan,1,,baseline,1.046557832393061,1.0751183722065778,forecast,linear_baseline,Linear baseline,0.45525778177577203,0.05,0,1.046557832393061,0.00044048414565622807,0,80,320,0.8
nan,nan,1,,baseline,1.027706013296292,1.2431991776988496,forecast,ar1_baseline,AR(1) baseline,0.4390042339058864,0.05,0,1.027706013296292,0.00024192500859498978,0,80,320,0.8
nan,nan,1,cuda,time_only,1.0442729906227484,1.070030342597486,forecast,mlp_t,MLP baseline [t],0.4532721169764611,0.05,1153,1.0442729906227484,0.4067554990760982,0,80,320,0.8
nan,nan,1,cuda,memory_only,1.047713752394149,1.0677884144670977,forecast,mlp_memory,MLP + memory-only,0.45626399887230107,0.05,1249,1.047713752394149,0.411869911942631,0,80,320,0.8
nan,nan,1,cuda,domain_only,0.21883255186472234,0.17018298663977038,forecast,mlp_domain,MLP + domain sin/cos,0.019904659972709245,0.05,1217,0.21883255186472234,0.4225670148152858,0,80,320,0.8
nan,nan,1,cuda,memory_plus_domain,0.07846939595062168,0.07474896665287156,forecast,mlp_memory_domain,MLP + memory + domain,0.0025593609088409948,0.05,1313,0.07846939595062168,0.4041826070751995,0,80,320,0.8
