channel_1_relative_l2,channel_2_relative_l2,channel_dim,device,feature_family,forecast_window_relative_l2,max_abs_error,mode,model,model_label,mse,noise_level,parameter_count,relative_l2,runtime_sec,seed,test_points,train_points,train_setting
0.8026665473770676,0.6708830149185365,2,,baseline,nan,1.781853812584,interpolation,linear_baseline,Linear baseline,0.2610352932742968,0.05,0,0.7508692587678206,4.5753782615065575e-05,0,400,30,30.0
0.9528541912545004,0.9422643773524889,2,,baseline,nan,1.3997139075451361,interpolation,ar1_baseline,AR(1) baseline,0.4165117003829859,0.05,0,0.9484802938531925,0.00041976687498390675,0,400,30,30.0
0.9458778873626787,0.8765612919064395,2,cuda,time_only,nan,1.353397236149883,interpolation,mlp_t,MLP baseline [t],0.389993087290791,0.05,1186,0.9177896669454756,0.4044253630563617,0,400,30,30.0
0.9241547724126855,0.9014821771709397,2,cuda,memory_only,nan,1.2633911462660035,interpolation,mlp_memory,MLP + memory-only,0.3874800024458067,0.05,1282,0.914827805443586,0.3958414369262755,0,400,30,30.0
0.07036050323311194,0.22990703005683674,2,cuda,domain_only,nan,0.4515607550701134,interpolation,mlp_domain,MLP + domain sin/cos,0.011483198926613727,0.05,1250,0.157487523376042,0.39123991201631725,0,400,30,30.0
0.07724541066460318,0.18959126939904672,2,cuda,memory_plus_domain,nan,0.36349242126531833,interpolation,mlp_memory_domain,MLP + memory + domain,0.008514013516364601,0.05,1346,0.13560692775412767,0.39521961589343846,0,400,30,30.0
1.0445037360150675,1.0522963193954975,2,,baseline,1.0485199071381694,1.3538979041031434,forecast,linear_baseline,Linear baseline,0.4969895993523781,0.05,0,1.0485199071381694,0.0004629341419786215,0,200,200,0.5
1.3024491089578338,1.0768485743281127,2,,baseline,1.1917335873705364,1.6860575428384657,forecast,ar1_baseline,AR(1) baseline,0.6420255306888152,0.05,0,1.1917335873705364,0.00048613897524774075,0,200,200,0.5
1.049750237973855,1.0389023349893483,2,cuda,time_only,1.0441835494807643,1.3205061634980673,forecast,mlp_t,MLP baseline [t],0.49288730587767027,0.05,1186,1.0441835494807643,0.40191254089586437,0,200,200,0.5
1.352241005802078,1.031348933859777,2,cuda,memory_only,1.1979405167651256,1.757897827584268,forecast,mlp_memory,MLP + memory-only,0.6487306949574615,0.05,1282,1.1979405167651256,0.3916723229922354,0,200,200,0.5
0.5420903656957099,0.9819573461213729,2,cuda,domain_only,0.7992132324900486,1.3233440248135921,forecast,mlp_domain,MLP + domain sin/cos,0.288748190406768,0.05,1250,0.7992132324900486,0.3876120988279581,0,200,200,0.5
0.3993583835303292,0.9256670492342005,2,cuda,memory_plus_domain,0.7198987505604991,1.4708394210379492,forecast,mlp_memory_domain,MLP + memory + domain,0.23428084356680096,0.05,1346,0.7198987505604991,0.3901177430525422,0,200,200,0.5
1.0530220738946587,0.986721161226351,2,,baseline,1.0154808624491476,1.174888600390048,forecast,linear_baseline,Linear baseline,0.503323428652402,0.05,0,1.0154808624491476,0.0006232610903680325,0,80,320,0.8
1.0158540126851658,1.4185538462090688,2,,baseline,1.2628840692411503,1.7406529812532814,forecast,ar1_baseline,AR(1) baseline,0.7784498327402158,0.05,0,1.2628840692411503,0.00041738199070096016,0,80,320,0.8
1.0522909749383098,0.9652762449999606,2,cuda,time_only,1.003249424757422,1.1459470772673528,forecast,mlp_t,MLP baseline [t],0.49127141913023314,0.05,1186,1.003249424757422,0.3954535969533026,0,80,320,0.8
1.078727928321489,0.9715756495601316,2,cuda,memory_only,1.0185791265866728,1.151658498637859,forecast,mlp_memory,MLP + memory-only,0.5063994252954589,0.05,1282,1.0185791265866728,0.4064206019975245,0,80,320,0.8
0.0830917408799458,0.5751213811161003,2,cuda,domain_only,0.4391668547645506,0.7470158815167417,forecast,mlp_domain,MLP + domain sin/cos,0.09413752378480866,0.05,1250,0.4391668547645506,0.4080337309278548,0,80,320,0.8
0.05561487427306411,0.5352092271794732,2,cuda,memory_plus_domain,0.40718338246458485,0.734315751730032,forecast,mlp_memory_domain,MLP + memory + domain,0.08092519441703731,0.05,1346,0.40718338246458485,0.38782726018689573,0,80,320,0.8
